time_ns,q0,q1,q2,q3,q4,q5,q6,v0,v1,v2,v3,v4,v5,v6,a0,a1,a2,a3,a4,a5,a6,ee_pos_x,ee_pos_y,ee_pos_z,ee_rot_x,ee_rot_y,ee_rot_z,ee_rot_w
12124904180,0.175243,-0.925697,-0.557576,-2.92242,-0.521386,2.15012,-0.690654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.278854,-0.0988552,0.37874,0.925952,0.372064,0.0557377,0.0327817
12410215850,0.17412,-0.925658,-0.565493,-2.92534,-0.527758,2.15601,-0.703597,-0.00511519,0.0027942,-0.0418134,-0.0119516,-0.0309074,0.0290434,-0.0657176,-0.0667221,0.0364474,-0.545411,-0.155896,-0.403154,0.378839,-0.857215,0.278637,-0.0996237,0.377932,0.924854,0.374691,0.0563156,0.0328689
12695527521,0.17356,-0.925545,-0.569651,-2.92675,-0.531006,2.15903,-0.710299,-0.0102304,0.00558841,-0.0836269,-0.0239033,-0.0618149,0.0580868,-0.131435,-0.066551,0.0363539,-0.544012,-0.155496,-0.40212,0.377868,-0.855016,0.27836,-0.100794,0.376789,0.923297,0.378386,0.0571271,0.0329197
12980839192,0.172803,-0.925146,-0.575804,-2.92852,-0.535567,2.16331,-0.719981,-0.00608251,0.00332261,-0.0497206,-0.0142118,-0.0367522,0.0345357,-0.0781452,0.0538277,-0.0294037,0.440007,0.125768,0.325242,-0.305627,0.691554,0.277852,-0.102854,0.374752,0.920483,0.384954,0.0585805,0.0330191
13266150862,0.171461,-0.924412,-0.586777,-2.93166,-0.543678,2.17094,-0.737227,-0.000967315,0.000528401,-0.00790718,-0.00226013,-0.00584479,0.00549229,-0.0124276,0.0662114,-0.0361683,0.541236,0.154703,0.400068,-0.375939,0.850653,0.277217,-0.105247,0.372328,0.917068,0.392742,0.0603241,0.0331649
13320105082,0.169867,-0.923542,-0.599808,-2.93538,-0.55331,2.17999,-0.757708,0,0,0,0,0,0,0,0.0125149,-0.00683636,0.102302,0.0292411,0.0756188,-0.0710582,0.160786,0.276624,-0.107328,0.370168,0.913964,0.399661,0.0618915,0.0333203
13320105082,0.168449,-0.922767,-0.611402,-2.93869,-0.561879,2.18804,-0.775929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.276247,-0.108584,0.36884,0.912027,0.403904,0.0628619,0.0334279
13605416753,0.167578,-0.922291,-0.618521,-2.94073,-0.567142,2.19299,-0.787119,-0.00403312,0.00508122,-0.04311,-0.00922341,-0.0292275,0.027797,-0.0657176,-0.0520471,0.0655727,-0.556331,-0.119027,-0.377178,0.358718,-0.848079,0.276069,-0.109234,0.368178,0.911053,0.406018,0.0633421,0.0334537
13890728424,0.167176,-0.921969,-0.622167,-2.94166,-0.569743,2.19544,-0.792777,-0.00806625,0.0101624,-0.08622,-0.0184468,-0.058455,0.0555941,-0.131435,-0.051915,0.0654063,-0.554919,-0.118725,-0.376221,0.357808,-0.845927,0.275803,-0.110364,0.367092,0.909449,0.40948,0.0641185,0.0334277
14176040094,0.166594,-0.921241,-0.62837,-2.94299,-0.573952,2.19944,-0.802235,-0.00410395,0.00517046,-0.0438671,-0.0093854,-0.0297408,0.0282852,-0.0668718,0.0508741,-0.0640949,0.543793,0.116345,0.368678,-0.350634,0.828967,0.275323,-0.11231,0.365195,0.906617,0.415503,0.0654802,0.033399
14461351765,0.165582,-0.919966,-0.639187,-2.94531,-0.581285,2.20642,-0.818724,-7.0832e-05,8.92393e-05,-0.000757122,-0.000161987,-0.00051331,0.000488187,-0.00115417,0.0516528,-0.065076,0.552117,0.118126,0.374321,-0.356001,0.841655,0.274745,-0.114504,0.363014,0.903312,0.422393,0.0670563,0.0333955
14466362568,0.164421,-0.918503,-0.651594,-2.94796,-0.589697,2.21442,-0.837638,0,0,0,0,0,0,0,0.000907116,-0.00114285,0.00969615,0.0020745,0.00657375,-0.00625201,0.014781,0.274214,-0.116393,0.361099,0.900367,0.428412,0.0684496,0.0334186
