time_ns,q0,q1,q2,q3,q4,q5,q6,v0,v1,v2,v3,v4,v5,v6,a0,a1,a2,a3,a4,a5,a6,ee_pos_x,ee_pos_y,ee_pos_z,ee_rot_x,ee_rot_y,ee_rot_z,ee_rot_w
3558502123,0.186598,-0.923577,-0.479125,-2.89025,-0.455847,2.09004,-0.559546,-0.0324084,-0.0147179,-0.218328,-0.101025,-0.190853,0.173067,-0.375,-0.162042,-0.0735894,-1.09164,-0.505126,-0.954263,0.865337,-1.875,0.283534,-0.0820631,0.396491,0.948079,0.313622,0.0434118,0.0300379
3658502123,0.183401,-0.925029,-0.500659,-2.90022,-0.474671,2.10711,-0.596533,-0.0250784,-0.0113891,-0.168948,-0.0781758,-0.147687,0.133924,-0.290185,0.162042,0.0735894,1.09164,0.505126,0.954263,-0.865337,1.875,0.282313,-0.0863878,0.391855,0.942663,0.329033,0.0465518,0.0309292
3758502123,0.181703,-0.9258,-0.512096,-2.90551,-0.484669,2.11618,-0.616177,-0.00887424,-0.00403013,-0.0597839,-0.0276633,-0.0522603,0.0473903,-0.102685,0.162042,0.0735894,1.09164,0.505126,0.954263,-0.865337,1.875,0.281624,-0.0885861,0.389389,0.939658,0.337236,0.0482401,0.0314217
3813267245,0.18146,-0.92591,-0.513733,-2.90627,-0.4861,2.11748,-0.618988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.281524,-0.0888952,0.389035,0.939221,0.338411,0.0484831,0.0314933
3813267245,0.18146,-0.92591,-0.513733,-2.90627,-0.4861,2.11748,-0.618988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.281524,-0.0888952,0.389035,0.939221,0.338411,0.0484831,0.0314933
3913267245,0.180647,-0.925882,-0.519468,-2.90838,-0.490716,2.12175,-0.628363,-0.0162667,0.00055894,-0.114706,-0.042264,-0.092319,0.0853974,-0.1875,-0.162667,0.0055894,-1.14706,-0.42264,-0.92319,0.853974,-1.875,0.281256,-0.0900542,0.387898,0.937824,0.342138,0.049272,0.0316174
4013267245,0.178207,-0.925799,-0.536674,-2.91472,-0.504564,2.13456,-0.656488,-0.0325334,0.00111788,-0.229413,-0.0845281,-0.184638,0.170795,-0.375,-0.162667,0.0055894,-1.14706,-0.42264,-0.92319,0.853974,-1.875,0.28041,-0.0934487,0.384481,0.933525,0.353324,0.0516603,0.0320172
4113267245,0.175228,-0.925696,-0.557679,-2.92246,-0.521469,2.15019,-0.690823,-0.0221939,0.000762605,-0.156503,-0.0576641,-0.125958,0.116514,-0.255821,0.162667,-0.0055894,1.14706,0.42264,0.92319,-0.853974,1.875,0.279293,-0.097424,0.380298,0.928051,0.366983,0.0546221,0.0325623
4213267245,0.173822,-0.925648,-0.567594,-2.92611,-0.529449,2.15757,-0.70703,-0.00592722,0.000203665,-0.0417963,-0.0154,-0.0336389,0.0311168,-0.0683207,0.162667,-0.0055894,1.14706,0.42264,0.92319,-0.853974,1.875,0.278734,-0.0992355,0.378321,0.925382,0.37343,0.0560389,0.0328422
4249704947,0.173714,-0.925644,-0.568356,-2.92639,-0.530062,2.15814,-0.708275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.278691,-0.0993729,0.378169,0.925174,0.373925,0.0561482,0.0328643
